nohup: ignoring input

 ┌───────────────────────────────────────────────────┐ 
 │                   Fiber v2.52.5                   │ 
 │               http://127.0.0.1:4000               │ 
 │       (bound on host 0.0.0.0 and port 4000)       │ 
 │                                                   │ 
 │ Handlers ............ 97  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 69615 │ 
 └───────────────────────────────────────────────────┘ 

19:19:07 | 200 |  147.162254ms | 192.168.37.146 | GET | /plugins/bootstrap/js/bootstrap.bundle.min.js | -
19:19:07 | 200 |  445.618967ms | 192.168.37.146 | GET | /dist/css/adminlte.min.css | -
19:19:07 | 200 |    6.115016ms | 192.168.37.146 | GET | /plugins/fontawesome-free/webfonts/fa-solid-900.woff2 | -
19:19:08 | 200 |      719.17µs | 192.168.37.146 | GET | /favicon.ico | -
19:19:09 | 200 |    5.688175ms | 192.168.37.146 | GET | /plugins/fontawesome-free/webfonts/fa-brands-400.woff2 | -
19:19:09 | 200 |    1.774523ms | 192.168.37.146 | GET | /plugins/fontawesome-free/webfonts/fa-regular-400.woff2 | -
19:21:08 | 200 |   15.358975ms | 192.168.37.146 | GET | /auth/login | -
19:21:08 | 304 |     114.732µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
19:34:54 | 200 |    25.16552ms | 192.168.37.146 | GET | /auth/login | -
19:34:55 | 304 |      199.51µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
19:37:28 | 200 |    17.69293ms | 192.168.37.146 | GET | /auth/login | -
19:40:38 | 200 |   19.137913ms | 192.168.37.146 | GET | /auth/login | -
19:40:42 | 200 |    16.39688ms | 192.168.37.146 | GET | /auth/login | -
19:40:43 | 200 |   20.415866ms | 192.168.37.146 | GET | /auth/login | -
19:40:45 | 200 |   15.212763ms | 192.168.37.146 | GET | /auth/register | -
19:43:30 | 200 |   15.902356ms | 192.168.37.146 | GET | /auth/login | -
19:43:50 | 200 |    16.46802ms | 192.168.37.146 | GET | /auth/login | -
19:43:51 | 200 |    18.90962ms | 192.168.37.146 | GET | /auth/login | -
19:46:31 | 200 |   17.467555ms | 192.168.37.146 | GET | /auth/login | -
19:48:08 | 500 |   15.324103ms | 192.168.37.146 | GET | /auth/login | failed to render: html/template:auth/login: "\"" in attribute name: "20px\">Login</p>                \n"
19:48:44 | 200 |   17.109443ms | 192.168.37.146 | GET | /auth/login | -
19:48:44 | 304 |     157.972µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
22:15:45 | 200 |   29.907366ms | 192.168.37.86 | GET | /auth/login | -
22:15:46 | 304 |     164.133µs | 192.168.37.86 | GET | /dist/img/login-cupcake.png | -
22:44:20 | 200 |   25.984164ms | 192.168.37.86 | GET | /store | -
22:44:24 | 200 |   19.628651ms | 192.168.37.86 | GET | /store | -
22:44:25 | 200 |   18.674484ms | 192.168.37.86 | GET | /auth/login | -
22:44:28 | 200 |   20.323654ms | 192.168.37.86 | GET | /auth/register | -
22:44:32 | 200 |   33.680085ms | 192.168.37.86 | GET | /auth/register | -
22:44:41 | 200 |   16.744049ms | 192.168.37.86 | GET | /store | -
22:46:43 | 200 |   19.119173ms | 192.168.37.86 | GET | /store | -
22:46:44 | 200 |    21.43854ms | 192.168.37.86 | GET | /store | -
22:48:17 | 200 |     32.9658ms | 192.168.37.86 | GET | /store | -
22:48:19 | 200 |   15.821974ms | 192.168.37.86 | GET | /auth/login | -
22:48:19 | 304 |     153.043µs | 192.168.37.86 | GET | /dist/img/login-cupcake.png | -
22:48:22 | 200 |   15.081108ms | 192.168.37.86 | GET | /auth/register | -
22:48:30 | 302 |     158.997µs | 192.168.37.86 | GET | /cart | -
22:48:30 | 200 |   17.946913ms | 192.168.37.86 | GET | /auth/login | -
22:48:36 | 200 |   16.965621ms | 192.168.37.86 | GET | /store | -
22:48:37 | 200 |   17.018802ms | 192.168.37.86 | GET | /store | -
22:57:58 | 200 |   31.098597ms | 192.168.37.86 | GET | /store | -
22:58:00 | 200 |      16.951ms | 192.168.37.86 | GET | /auth/login | -
22:58:02 | 200 |   17.349964ms | 192.168.37.86 | GET | /auth/register | -
22:58:19 | 200 |   24.867922ms | 192.168.37.86 | GET | /auth/register | -
23:01:43 | 200 |   20.189387ms | 192.168.37.86 | GET | /auth/register | -
23:02:47 | 200 |   18.519746ms | 192.168.37.86 | GET | /auth/register | -
23:04:41 | 200 |   15.904189ms | 192.168.37.86 | GET | /auth/register | -
23:04:44 | 200 |   24.717293ms | 192.168.37.86 | GET | /auth/login | -
23:04:48 | 200 |   28.680361ms | 192.168.37.86 | GET | /auth/register | -
23:07:37 | 200 |   19.922878ms | 192.168.37.86 | GET | /auth/login | -
23:11:03 | 200 |   22.305594ms | 192.168.37.86 | GET | /auth/login | -
23:11:09 | 200 |   19.099706ms | 192.168.37.86 | GET | /auth/login | -
23:11:11 | 200 |   18.966006ms | 192.168.37.86 | GET | /auth/login | -
23:15:21 | 200 |   25.911499ms | 192.168.37.86 | GET | /auth/login | -
23:15:23 | 200 |   16.481705ms | 192.168.37.86 | GET | /auth/login | -
23:16:33 | 200 |   17.052542ms | 192.168.37.86 | GET | /auth/login | -
23:17:58 | 200 |   17.518837ms | 192.168.37.86 | GET | /auth/login | -
23:20:42 | 200 |   16.621634ms | 192.168.37.86 | GET | /auth/login | -
23:42:36 | 200 |    29.63309ms | 192.168.37.86 | GET | /auth/register | -
23:42:36 | 304 |     117.299µs | 192.168.37.86 | GET | /dist/img/login-cupcake.png | -
23:42:42 | 200 |   15.297048ms | 192.168.37.86 | GET | /auth/login | -
23:45:48 | 200 |   16.606732ms | 192.168.37.86 | GET | /auth/login | -
23:45:52 | 200 |   17.204746ms | 192.168.37.86 | GET | /auth/login | -
23:47:45 | 200 |    21.77064ms | 192.168.37.86 | GET | /auth/login | -
23:47:47 | 200 |   20.052489ms | 192.168.37.86 | GET | /auth/login | -
23:49:41 | 200 |    16.54303ms | 192.168.37.86 | GET | /auth/login | -
23:49:56 | 200 |   12.877761ms | 192.168.37.86 | GET | /auth/login | -
23:50:04 | 200 |   19.128011ms | 192.168.37.86 | GET | /auth/login | -
23:53:35 | 200 |   24.832771ms | 192.168.37.86 | GET | /auth/login | -
23:53:38 | 200 |   24.867081ms | 192.168.37.86 | GET | /auth/login | -
23:53:51 | 200 |    19.88157ms | 192.168.37.86 | GET | /auth/login | -
23:55:02 | 200 |   19.773367ms | 192.168.37.86 | GET | /auth/login | -
23:55:31 | 200 |   28.146009ms | 192.168.37.86 | GET | /auth/login | -
23:57:03 | 200 |   16.841009ms | 192.168.37.86 | GET | /auth/login | -
00:10:12 | 200 |   20.676656ms | 192.168.37.86 | GET | /auth/login | -
00:11:39 | 200 |   15.994659ms | 192.168.37.86 | GET | /auth/login | -
00:11:41 | 200 |    20.80608ms | 192.168.37.86 | GET | /auth/login | -
00:13:54 | 200 |   15.637182ms | 192.168.37.86 | GET | /auth/login | -
00:13:55 | 200 |   17.454904ms | 192.168.37.86 | GET | /auth/login | -
00:14:49 | 200 |   14.912398ms | 192.168.37.86 | GET | /auth/login | -
00:15:03 | 200 |   14.486171ms | 192.168.37.86 | GET | /auth/login | -
00:15:08 | 200 |   27.598174ms | 192.168.37.86 | GET | /auth/login | -
00:27:10 | 200 |   26.434485ms | 192.168.37.86 | GET | /auth/login | -
00:27:10 | 304 |     197.006µs | 192.168.37.86 | GET | /dist/img/login-cupcake.png | -
00:27:10 | 200 |     897.733µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:27:57 | 304 |     160.123µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:29:24 | 200 |   17.196921ms | 192.168.37.86 | GET | /auth/login | -
00:29:24 | 304 |     126.456µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:29:36 | 200 |   19.699534ms | 192.168.37.86 | GET | /auth/login | -
00:31:56 | 200 |   13.643164ms | 192.168.37.86 | GET | /auth/login | -
00:31:56 | 304 |     114.112µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:32:14 | 200 |   16.019475ms | 192.168.37.86 | GET | /auth/login | -
00:33:40 | 200 |     17.3302ms | 192.168.37.86 | GET | /auth/login | -
00:33:40 | 304 |     117.629µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:34:34 | 200 |   16.976538ms | 192.168.37.86 | GET | /auth/login | -
00:42:28 | 200 |   28.490273ms | 192.168.37.86 | GET | /auth/login | -
00:42:28 | 404 |      173.58µs | 192.168.37.86 | GET | /dist/css/adminlt.min.css | Cannot GET /dist/css/adminlt.min.css
00:42:28 | 304 |     147.286µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:43:16 | 200 |   17.803102ms | 192.168.37.86 | GET | /auth/login | -
00:51:30 | 200 |   23.820275ms | 192.168.37.86 | GET | /auth/login | -
00:51:30 | 304 |     145.252µs | 192.168.37.86 | GET | /dist/img/capa_login-1.png | -
00:51:34 | 200 |   16.114042ms | 192.168.37.86 | GET | /auth/login | -
00:51:36 | 200 |   16.945064ms | 192.168.37.86 | GET | /auth/login | -
00:51:37 | 200 |   20.668384ms | 192.168.37.86 | GET | /auth/login | -
00:51:38 | 200 |   29.978443ms | 192.168.37.86 | GET | /auth/login | -
00:53:48 | 200 |   32.569726ms | 192.168.37.86 | GET | /auth/login | -
